Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13633256,"Straight to Heaven (Lilith Straight, #2)",Michelle Scott,"Scott, Michelle",,"=""""","=""""",0,3.79,Urban Fae Publications,ebook,207,2012,2012,2012/05/26,2012/05/26,,,read,,,,1,,,0,,,,,
4769247,"Ashes of Midnight (Midnight Breed, #6)",Lara Adrian,"Adrian, Lara",,"=""0440244501""","=""9780440244509""",0,4.15,Dell,Mass Market Paperback,368,2009,2009,2012/05/25,2010/07/07,,,read,,,,1,,,0,,,,,
12582471,"Straight to Hell (Lilith Straight, #1)",Michelle Scott,"Scott, Michelle",,"=""""","=""""",3,3.53,,Kindle Edition,179,2011,2011,2012/05/24,2012/05/24,,,read,,,,1,,,0,,,,,
3373198,"Veil of Midnight (Midnight Breed, #5)",Lara Adrian,"Adrian, Lara",,"=""0440244498""","=""9780440244493""",0,4.23,Dell,Mass Market Paperback,355,2008,2008,2012/05/22,2010/07/07,,,read,,,,1,,,0,,,,,
13612074,Wings of Retribution (Millennium Potion #1),Sara  King,"King, Sara",,"=""""","=""""",4,4.27,Amazon,Kindle Edition,498,2012,2012,2012/05/22,2012/05/11,to-read,to-read (#253),to-read,,,,1,,,0,,,,,
604060,"Odinn's Child (Viking, #1)",Tim Severin,"Severin, Tim",,"=""0330426737""","=""9780330426732""",0,3.76,Macmillan UK,Paperback,342,2005,2005,,2012/05/21,to-read,to-read (#255),to-read,,,,0,,,0,,,,,
101086,Stonehenge,Bernard Cornwell,"Cornwell, Bernard",,"=""0060956852""","=""9780060956851""",0,3.66,Harper Perennial,Paperback,578,2004,1999,,2012/05/21,,,read,,,,1,,,0,,,,,
1309025,"Dreaming the Eagle (Boudica, #1)",Manda Scott,"Scott, Manda",,"=""0385336705""","=""9780385336703""",0,4.06,Dell,Hardcover,465,2003,2003,,2012/05/21,to-read,to-read (#254),to-read,,,,0,,,0,,,,,
188317,"The Last Camel Died at Noon (Amelia Peabody, #6)",Elizabeth Peters,"Peters, Elizabeth",,"=""0446363383""","=""9780446363389""",0,4.21,Warner Books,Paperback,430,1992,1991,,2010/07/07,"amelia-peabody, elizabeth-peters","amelia-peabody (#13), elizabeth-peters (#13)",read,,,,1,,,0,,,,,
1928873,"Midnight Rising (Midnight Breed, #4)",Lara Adrian,"Adrian, Lara",,"=""0440244447""","=""9780440244448""",0,4.20,Dell,Mass Market Paperback,356,2008,2008,2012/05/20,2010/07/07,,,read,,,,1,,,0,,,,,
1388813,"Midnight Awakening (Midnight Breed, #3)",Lara Adrian,"Adrian, Lara",,"=""0553589393""","=""9780553589399""",0,4.22,Dell,Mass Market Paperback,369,2007,2007,2012/05/19,2010/07/07,,,read,,,,1,,,0,,,,,
715791,"Kiss of Crimson (Midnight Breed, #2)",Lara Adrian,"Adrian, Lara",,"=""0553589385""","=""9780553589382""",0,4.14,Dell,Mass Market Paperback,387,2007,2007,2012/05/18,2010/07/07,,,read,,,,1,,,0,,,,,
704043,"Kiss of Midnight (Midnight Breed,  #1)",Lara Adrian,"Adrian, Lara",,"=""0553589377""","=""9780553589375""",0,3.92,Dell,Mass Market Paperback,402,2007,2007,2012/05/17,2010/07/07,for-andi,for-andi (#14),read,,,,1,,,0,,,,,
11290261,"Killing Time (Time, #2)",Elisa Paige,"Paige, Elisa",,"=""142689208X""","=""9781426892080""",0,4.02,Carina Press,ebook,216,2011,2011,2012/05/16,2012/05/16,,,read,,,,1,,,0,,,,,
13645588,"To the Princess Bound (Terms of Mercy, #1)",Sara  King,"King, Sara",,"=""""","=""""",4,3.98,,Kindle Edition,323,2012,2012,2012/05/15,2012/05/15,,,read,,,,1,,,0,,,,,
13569948,"Alaskan Fury (Guardians of the First Realm, #2)",Sara  King,"King, Sara",,"=""""","=""""",4,4.20,,Kindle Edition,531,2012,2012,2012/05/12,2012/05/13,,,read,,,,1,,,0,,,,,
13552800,"Alaskan Fire (Guardians of the First Realm, #1)",Sara  King,"King, Sara",David King,"=""""","=""""",4,3.91,Amazon Digital Services,Kindle Edition,544,2012,2012,2012/05/10,2012/05/11,,,read,,,,1,,,0,,,,,
13569063,"Real Vampires Know Hips Happen (Glory St. Clair, #9)",Gerry Bartlett,"Bartlett, Gerry",,"=""""","=""""",0,4.16,Berkley,Kindle Edition,335,2013,2013,,2012/05/07,to-read,to-read (#252),to-read,,,,0,,,0,,,,,
11551967,"Real Vampires Hate Skinny Jeans (Glory St. Clair, #8)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425245624""","=""9780425245620""",0,4.18,Berkley,Paperback,336,2012,2012,2012/05/07,2012/05/07,,,read,,,,1,,,0,,,,,
3326921,Romanian Fairy Tales and Legends (Forgotten Books),E.B. Mawr,"Mawr, E.B.",,"=""1605067784""","=""9781605067780""",0,3.32,Forgotten Books,Paperback,116,2008,1881,2012/05/07,2012/05/07,,,read,,,,1,,,0,,,,,
9636838,"Real Vampires Don't Wear Size Six (Glory St. Clair, #7)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425241351""","=""9780425241356""",0,4.18,Berkley Books,Paperback,339,2011,2011,2012/05/06,2012/05/06,,,read,,,,1,,,0,,,,,
12870694,"Articles on Hungarian Books by Author, Including: The Enchanted Cat, Uletka and the White Lizard, Old Hungarian Fairy Tales, Fairyland's Beauty, Darkness at Noon, Thieves in the Night, Arrival and Departure, the Call-Girls",Hephaestus Books,"Books, Hephaestus",,"=""1244168815""","=""9781244168817""",0,3.00,Hephaestus Books,Paperback,50,2011,2011,,2012/05/05,,,read,,,,1,,,0,,,,,
327293,The Glass Man and the Golden Bird: Hungarian Folk and Fairy Tales,Ruth Manning-Sanders,"Manning-Sanders, Ruth",,"=""0192712829""","=""9780192712820""",0,4.33,Oxford U.P.,Hardcover,194,1968,1968,,2012/05/05,to-read,to-read (#251),to-read,,,,0,,,0,,,,,
11642687,"Hungary in Fiction: Compositions Set in Hungary, Hungarian Fairy Tales, Hungarian Folklore, Hungarian Folklorists",Books LLC,"LLC, Books",,"=""1156018374""","=""9781156018378""",0,0.0,Books LLC,Paperback,124,2010,2010,,2012/05/05,,,read,,,,1,,,0,,,,,
2271294,Old Hungarian Fairy Tales,Emmuska Orczy,"Orczy, Emmuska",,"=""1419138049""","=""9781419138041""",0,3.88,Kessinger Publishing,Paperback,56,2004,1895,,2012/05/05,to-read,to-read (#250),to-read,,,,0,,,0,,,,,
2568548,Fairy Tales Of Eastern Europe (Notable American Authors Series - Part I),Jeremiah Curtin,"Curtin, Jeremiah",,"=""078122506X""","=""9780781225069""",0,3.25,Reprint Services Corp,Library Binding,259,1915,1915,,2012/05/05,to-read,to-read (#249),to-read,,,,0,,,0,,,,,
866531,Fairy Tales of Eastern Europe,Joanne Asala,"Asala, Joanne",,"=""1932043268""","=""9781932043266""",0,3.86,Penfield Books,Paperback,157,,2005,,2012/05/05,to-read,to-read (#248),to-read,,,,0,,,0,,,,,
3300130,Seventh Candle and Other Folk Tales of Eastern Europe,David Einhorn,"Einhorn, David",Gertrude Pashin,"=""0870683691""","=""9780870683695""",0,4.00,Ktav Pub Inc,Hardcover,111,1968,1968,,2012/05/05,,,read,,,,1,,,0,,,,,
9970306,Stealing Time (Time #1),Elisa Paige,"Paige, Elisa",,"=""1426891148""","=""9781426891144""",0,3.58,Carina Press,ebook,0,2011,2010,2012/05/04,2012/05/05,,,read,,,,1,,,0,,,,,
7828879,"Real Vampires Have More to Love (Glory St. Clair, #6)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425236978""","=""9780425236970""",0,4.16,Berkley Books,Paperback,356,2010,2010,2012/05/03,2012/05/03,,,read,,,,1,,,0,,,,,
6582625,"Real Vampires Hate Their Thighs (Glory St. Clair, #5)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425232239""","=""9780425232231""",0,4.12,Berkley Books,Paperback,341,2010,2009,2012/05/01,2012/05/02,,,read,,,,1,,,0,,,,,
11531818,Under a Vampire Moon (Argeneau #16),Lynsay Sands,"Sands, Lynsay",,"=""0062100203""","=""9780062100207""",0,4.24,Avon,Mass Market Paperback,351,2012,2012,2012/04/29,2012/04/29,,,read,,,,1,,,0,,,,,
3559788,"Real Vampires Don't Diet (Glory St. Clair, #4)",Gerry Bartlett,"Bartlett, Gerry",,"=""042522564X""","=""9780425225646""",0,4.11,Berkley Books,Paperback,344,2009,2009,2012/04/28,2012/04/28,,,read,,,,1,,,0,,,,,
